CustomizationTablesMaxColors,ProdReference,Name,SEOName,Description,ShortDescription,SEOShortDescription,SEOShortDescriptionCap,IsTextil,HasColors,HasSizes,HasCapacitys,CombinedSizes,Gender,DefaultCustomizationIncludedInPrice,AvailableGross,BoxLengthMM,BoxWidthMM,BoxHeightMM,BoxSizeM,BoxWeightKG,BoxVolume,BoxQuantity,BoxInnerQuantity,Multiplier,Taric,Type,TypeCode,SubType,SubTypeCode,MainImage,BoxImage,BagImage,PouchImage,AditionalImageList,AllImageList,Brand,CountryOfOrigin,PvcFree,Properties,ProductCare,Certificates,WeightGr,Composition,Packing,Weight,Repacking,RefillType,BatteryType,Materials,PaperSize,PaperGramage,CapacityMah,CapacityGB,InkColor,OtherDetails,KeyWords,RelatedReferences,Video360,VideoLink,VideoLinkVimeo,Sizes,Capacitys,Colors,ProductComponents,ProductDefaultComponent,ProductComponentLocations,ProductComponentDefaultLocation,ProductComponentDefaultLocationAreaMM,ProductComposedLocations,CustomizationTypes,CustomizationDefaultType,CustomizationTables,CustomizationDefaultTable,CustomizationTableOptions,CustomizationTableOptionsMaxColors,CustomizationTableOptionsHandlingCosts,CustomizationTableOptionsHandlingCostCodes,CustomizationDefault,CustomizationDefaultTableMaxColors,CustomizationDefaultHandlingCosts,CustomizationDefaultHandlingCostCode,CustomizationDefaultPrintingLines,IsSeasonal,SeasonalOccasion,SeasonalStartDate,SeasonalEndDate,PriceByCapacity,IsStockOut,OnlineExclusive,NewProduct,YourPrice,ScalePrices,ProductOptionals,Components,CertificateFiles,Catalogs,UpdateDate,NoReplenishment,WebSku
"1, 1, 1",94114,CARIN. Saca-rolhas em madeira com abridor de garrafa e canivete de sommelier,CARIN,Saca-rolhas em madeira com abridor de garrafas e canivete de sommelier. A cor e o resultado da impressão nos materiais naturais pode variar entre produtos. 109 x 25 x 8 mm,Saca-rolhas em madeira com abridor de garrafas e canivete de sommelier. A cor e o resultado da impressão nos materiais naturais pode variar entre produtos,CARIN. Saca-rolhas em madeira com abridor de garrafa e canivete de sommelier,CARIN. SACA-ROLHAS EM MADEIRA COM ABRIDOR DE GARRAFA E CANIVETE DE SOMMELIER,false,true,false,false,109 x 25 x 8 mm,,false,true,3.1,1.9,2.6,0.310X0.190X0.260,13.3,0.015,200,10,1,8205.51.00,"Casa, Restaurante & Bar",8,Saca Rolhas,1020,94114_160-logo.jpg,,,,,"94114_160-logo.jpg, 94114_160.jpg",hi!dea™,China,false,,,"Food Safety, REACH",,,Polybag,68,Caixa branca,,,Madeira,,,0,0,,,"saca, rolhas, saca rolha, saca rolhas, abridor, abridores, vinho, vinhos, conjuntos vinho, certificado, certificados","94115, 94117, 94191",,,,,,Natural,Saca-rolhas,Saca-rolhas,"Metal, Lámina, Cabo, Cabo 2",Cabo,,"Saca-rolhas - Metal, Saca-rolhas - Lámina, Saca-rolhas - Cabo, Saca-rolhas - Cabo 2","Laser, Tampografia",,"LSR1-01, LSR1-02, PDP3-01",,"LSR1-01-01, LSR1-02-01, PDP3-01-01","1, 1, 1",,,,,0,,,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],cert_94114.zip,"SPOT,Últimas Chegadas",11/18/2024 09:03:06,false,94114-160
"1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 1",94646,RAISE. Squeeze em vidro e tampa em alumínio 520 mL,RAISE,Squeeze em vidro e tampa em aço inox com alça para fácil transporte. Capacidade até 520 mL. Fornecido com luva em soft shell dando proteção extra à sua squeeze. Caixa branca 94651 vendida opcionalmente. Certificação EU Food Grade. ø65 x 225 mm,Squeeze em vidro e tampa em aço inox com alça para fácil transporte. Capacidade até 520 mL. Fornecido com luva em soft shell dando proteção extra à sua squeeze. Caixa branca 94651 vendida opcionalmente. Certificação EU Food Grade,RAISE. Squeeze em vidro e tampa em alumínio 520 mL,RAISE. SQUEEZE EM VIDRO E TAMPA EM ALUMÍNIO 520 ML,false,true,false,false,ø65 x 225 mm,,false,true,4.3,3.7,2.4,0.430X0.370X0.240,8.7,0.039,30,1,1,7010.90.21,Squeezes & Copos,10,Garrafas,1010,94646_set.jpg,,,,,"94646_set.jpg, 94646_103-logo.jpg, 94646_amb.jpg, 94646_a.jpg, 94646_103.jpg, 94646_104.jpg, 94646_105.jpg, 94646_106.jpg, 94646_108.jpg, 94646_119.jpg, 94646_119-c.jpg, 94646_124.jpg",hi!dea™,China,false,"Apropriado para comida, Apropriado para congelador, Apropriado para máquina de lavar, Apropriado para microondas, Apropriado para bebidas frias/quentes (horas)",,"Food Safety, BPA Free, REACH",,,Polybag,339,Polybag,,,Vidro e aço inox,,,0,0,,,"squeezes, garrafa, garrafas, garrafa térmica, garrafas térmicas, bebida, bebidas, certificado, certificados","94687, 94688, 94689, 94690, 94059, 94699, 94669, 94770, 94317",,,,,,"Amarelo, Azul, Azul claro, Branco, Preto, Verde claro, Vermelho","Garrafa desporto,Manga refrigeradora,Tampa",Garrafa desporto,"Corpo, Verso, Frente, Tampa da garrafa",Tampa da garrafa,140 x 130,"Garrafa desporto - Corpo, Manga refrigeradora - Verso, Manga refrigeradora - Frente, Tampa - Tampa da garrafa","Tampografia, Silk Screen, Transfer, Laser",Silk Screen,"PDP4-01, SCR4-01, TRS2-01, TRS2-02, TRS2-03, TRS3-01, TRS3-02, TRS3-03, LSR2-01, LSR2-02, LSR2-03",SCR4-01-01,"PDP4-01-01, SCR4-01-01, TRS2-01-01, TRS2-01-02, TRS2-01-03, TRS2-01-04, TRS2-01-F, TRS2-02-01, TRS2-02-02, TRS2-02-03, TRS2-02-04, TRS2-02-F, TRS2-03-01, TRS2-03-02, TRS2-03-03, TRS2-03-04, TRS2-03-F, TRS3-01-01, TRS3-01-02, TRS3-01-03, TRS3-01-04, TRS3-01-F, TRS3-02-01, TRS3-02-02, TRS3-02-03, TRS3-02-04, TRS3-02-F, TRS3-03-01, TRS3-03-02, TRS3-03-03, TRS3-03-04, TRS3-03-F, LSR2-01-01, LSR2-02-01, LSR2-03-01","1, 1, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 1, 1",,,Garrafa desporto - Corpo (Silk Screen - 140 x 130),1,0,,94646_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]",cert_94646.zip,"SPOT,Últimas Chegadas",11/18/2024 09:03:06,false,94646-103
"1, 1, 1, 1, 1, 1, 1, 1, 5, 1",94677,RONDE. Copo térmico de viagem em aço inox 400 mL,RONDE,"Copo de viagem em aço inox, térmico com parede dupla isolada a vácuo e tampa deslizante. Capacidade até 400 mL. Preserva as bebidas quentes por 6h e frias por 12h. Fornecida em caixa presente. Certificação EU Food Grade. 88 x 112 mm","Copo de viagem em aço inox, térmico com parede dupla isolada a vácuo e tampa deslizante. Capacidade até 400 mL. Preserva as bebidas quentes por 6h e frias por 12h. Fornecida em caixa presente. Certificação EU Food Grade",RONDE. Copo térmico de viagem em aço inox 400 mL,RONDE. COPO TÉRMICO DE VIAGEM EM AÇO INOX 400 ML,false,true,false,false,88 x 112 mm,,false,true,4.9,4.8,2.7,0.490X0.480X0.270,11.1,0.054,50,1,1,7323.93.00,Squeezes & Copos,10,Canecas de Viagem,1004,94677_set.jpg,,,,,"94677_set.jpg, 94677_127-c.jpg, 94677_amb.jpg, 94677_127.jpg, 94677_127-d.jpg, 94677_147.jpg, 94677_147-c.jpg, 94677_147-d.jpg, 94677_147-e.jpg",hi!dea™,China,false,"Aço inox, Apropriado para comida, Fornecido em caixa de oferta, Apropriado para bebidas frias/quentes (horas), Parede dupla",,"Food Safety, BPA Free",,,Polybag,243,Sem polybag,,,Aço inox,,,0,0,,,"copos, copos de viagem, copo de viagem, copo térmico, copos térmicos, bebida, bebidas, garrafa térmica, garrafas térmicas, certificado, certificados","94676, 94661, 94761, 94768, 94327",,,,,,"Chumbo, Cromado satinado","Copo,Caixa",Copo,"Frente superior, Frente",Frente,257 x 50,"Copo - Frente superior, Caixa - Frente","Laser circular, Laser, Tampografia, Silk Screen",Laser circular,"LAS1-01, LAS1-02, LAS1-03, LAS1-04, LAS1-05, LSR1-01, LSR1-02, LSR1-03, PDP3-01, SCR2-01",LAS1-01-01,"LAS1-01-01, LAS1-02-01, LAS1-03-01, LAS1-04-01, LAS1-05-01, LSR1-01-01, LSR1-02-01, LSR1-03-01, PDP3-01-01, PDP3-01-02, PDP3-01-03, PDP3-01-04, PDP3-01-05, SCR2-01-01","1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 1",,,Copo - Frente superior (Laser circular - 257 x 50),1,0,,94677_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]","[object Object],[object Object]",cert_94677.zip,"SPOT,Últimas Chegadas",11/18/2024 09:03:06,false,94677-127
"1, 1",94785,AMERICANO. Copo em vidro isotérmico 220 mL,AMERICANO,Copo em vidro isotérmico (borossilicato) com parede dupla isolada a ar e capacidade até 220 mL. Fornecido em caixa presente personalizável. Certificação EU Food Grade. ø80 x 86 mm,Copo em vidro isotérmico (borossilicato) com parede dupla isolada a ar e capacidade até 220 mL. Fornecido em caixa presente personalizável. Certificação EU Food Grade,AMERICANO. Copo em vidro isotérmico 220 mL,AMERICANO. COPO EM VIDRO ISOTÉRMICO 220 ML,false,true,false,false,ø80 x 86 mm,,false,true,3.9,3.1,3.8,0.390X0.310X0.380,7.1,0.046,48,1,1,7013.37.00,Squeezes & Copos,10,Restauração - Utensílios,104,94785_set.jpg,94785_110-box.jpg,,,,"94785_set.jpg, 94785_110-box.jpg, 94785_110.jpg",hi!dea™,China,false,"Apropriado para comida, Fornecido em caixa de oferta, Apropriado para bebidas quentes, Parede dupla",,Food Safety,,,Plástico bolha,129,Caixa de oferta,,,Vidro isotérmico,,,0,0,,,"copos, copos de viagem, copo térmico, copos térmicos, bebida, bebidas, café, cafés, chá, chavenas, garrafa térmica, garrafas térmicas, certificado, certificados",,,,,,,Transparente,"Copo,Caixa",Copo,"Frente, Tampa, Frente",Tampa,25 x 20,"Copo - Frente, Caixa - Tampa, Caixa - Frente","Tampografia, Silk Screen",Tampografia,"PDP3-01, SCR5-01",PDP3-01-01,"PDP3-01-01, SCR5-01-01","1, 1",,,Copo - Frente (Tampografia - 25 x 20),1,0,,94785_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],"[object Object],[object Object]",cert_94785.zip,SPOT,11/18/2024 09:03:06,false,94785-110
"1, 1, 1",94897,ZENA. Conjunto de manicure em cortiça,ZENA,"Conjunto de manicure em cortiça com cinco peças em aço inoxidável: lixa, tesoura, cortador de unhas, pinça e empurra cutículas. Fornecido em bolsa de papel natural. 104 x 61 x 17 mm","Conjunto de manicure em cortiça com cinco peças em aço inoxidável: lixa, tesoura, cortador de unhas, pinça e empurra cutículas. Fornecido em bolsa de papel natural",ZENA. Conjunto de manicure em cortiça,ZENA. CONJUNTO DE MANICURE EM CORTIÇA,false,true,false,false,104 x 61 x 17 mm,,false,true,5.4,3.3,5,0.540X0.330X0.500,12.4,0.071,200,50,1,8214.20.00,Pessoal & Viagem,6,Conjuntos de Manicura,0521,94897_set.jpg,,,94897_pouch.jpg,,"94897_set.jpg, 94897_160-a.jpg, 94897_pouch.jpg, 94897_amb.jpg, 94897_160.jpg, 94897_160-b.jpg, 94897_160-c.jpg, 94897_160-d.jpg, 94897_160-e.jpg, 94897_160-f.jpg",hi!dea™,China,false,"Aço inox, Our nature, Cortiça",,REACH,,,Bolsa em papel kraft,47,Bolsa em papel,,,Cortiça. Aço inox,,,0,0,,,"conjuntos, cosméticos, cosmético, senhora, lixas para unhas, unhas, manicura, ecologic, ecologico, ecológicos, eco, produtos eco, sustentável, sustentáveis, certificado, certificados",94898,,,,,,Natural,Estojo,Estojo,"Frente, Verso",Frente,40 x 30,"Estojo - Frente, Estojo - Verso",Laser,Laser,"LSR3-01, LSR3-02, LSR3-03",LSR3-01-01,"LSR3-01-01, LSR3-02-01, LSR3-03-01","1, 1, 1",,,Estojo - Frente (Laser - 40 x 30),1,0,,94897_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],cert_94897.zip,"SPOT,Our Nature",11/18/2024 09:03:06,false,94897-160
"4, 4, 5",97318,JANNES. Hub USB 2'0 com 4 portas,JANNES,Hub USB 2'0. com 4 portas para conectar até 4 dispositivos móveis. 52 x 41 x 12 mm,Hub USB 2.0. com 4 portas para conectar até 4 dispositivos móveis,JANNES. Hub USB 2.0 com 4 portas,JANNES. HUB USB 2.0 COM 4 PORTAS,false,true,false,false,52 x 41 x 12 mm,,false,true,3.5,3.1,1.9,0.350X0.310X0.190,9.3,0.022,500,100,1,8517.62.54,Tecnologia,3,Carregadores e adaptadores,132,97318_set.jpg,,,,,"97318_set.jpg, 97318_103.jpg, 97318_106.jpg, 97318_106-c.jpg",hi!dea™,China,false,,,"EMC, RoHS, EMC, REACH",,,Polybag,18,Polybag com 10 un.,,,Plástico,,,0,0,,,"cabos usb, cabos, usb, certificado, certificados","97357, 97127",,,,,,"Branco, Preto",Hub,Hub,"Superior, Inferior",Superior,45 x 20,"Hub - Superior, Hub - Inferior","UV Digital, Tampografia",Tampografia,"DUV1-01, DUV1-02, PDP3-01",PDP3-01-01,"DUV1-01-F, DUV1-02-F, PDP3-01-01, PDP3-01-02, PDP3-01-03, PDP3-01-04, PDP3-01-05","4, 4, 1, 2, 3, 4, 5",,,Hub - Superior (Tampografia - 45 x 20),5,0,,97318_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]",[object Object],cert_97318.zip,SPOT,11/18/2024 09:03:06,false,97318-103
"4, 5",97357,GARDNER. Hub USB 2'0 em ABS com 4 portas,GARDNER,Hub USB 2'0 em ABS com 4 portas. ø52 x 18 mm,Hub USB 2.0 em ABS com 4 portas,GARDNER. Hub USB 2.0 em ABS com 4 portas,GARDNER. HUB USB 2.0 EM ABS COM 4 PORTAS,false,true,false,false,ø52 x 18 mm,,false,true,3.8,3.5,2.9,0.380X0.350X0.290,15.6,0.036,500,100,1,8517.62.54,Tecnologia,3,Carregadores e adaptadores,132,97357_set.jpg,,,,,"97357_set.jpg, 97357_103.jpg, 97357_105.jpg, 97357_105-c.jpg, 97357_106.jpg, 97357_114.jpg, 97357_119.jpg, 97357_119-c.jpg",hi!dea™,China,false,,,"MSDS, EMC, RoHS, EMC, REACH",,,Polybag,28,Polybag com 10 un.,,,ABS,,,0,0,,,"cabos usb, cabos, usb, certificado, certificados, 11134","97329, 97127",,,,,,"Azul royal, Branco, Preto, Verde claro, Vermelho",Hub,Hub,"Superior, Inferior",Superior,Ã˜35,"Hub - Superior, Hub - Inferior","UV Digital, Tampografia",UV Digital,"DUV1-01, PDP3-01",DUV1-01-F,"DUV1-01-F, PDP3-01-01, PDP3-01-02, PDP3-01-03, PDP3-01-04, PDP3-01-05","4, 1, 2, 3, 4, 5",,,Hub - Superior (UV Digital - Ã˜35),4,0,,97357_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",[object Object],cert_97357.zip,SPOT,11/18/2024 09:03:06,false,97357-103
"1, 1",98117,COBB. Kit de limpeza de sapatos,COBB,"Kit de limpeza de sapatos com 6 peças: 1 cera incolor para sapatos, 1 flanela amarela, 2 escovas em madeira, 1 calçadeira e 1 embalagem lata. ø98 x 56 mm","Kit de limpeza de sapatos com 6 peças: 1 cera incolor para sapatos, 1 flanela amarela, 2 escovas em madeira, 1 calçadeira e 1 embalagem lata",COBB. Kit de limpeza de sapatos,COBB. KIT DE LIMPEZA DE SAPATOS,false,true,false,false,ø98 x 56 mm,,false,true,5.2,3.2,2.4,0.520X0.320X0.240,9.2,0.04,50,25,1,9605.00.00,Pessoal & Viagem,6,Utilitários de Viagem,23,98117_set.jpg,,,,,"98117_set.jpg, 98117_127-logo.jpg, 98117_amb.jpg, 98117_127.jpg, 98117_127-a.jpg",hi!dea™,China,false,,,"MSDS, REACH",,,Manga branca,166,Sem polybag,,,,,,0,0,,,"limpar sapatos, engraxar sapato, certificado, certificados",92722,,,,,,Cromado satinado,Estojo,Estojo,Tampa,Tampa,Ã˜65,Estojo - Tampa,"Laser, Silk Screen",Silk Screen,"LSR1-01, SCR5-01",SCR5-01-01,"LSR1-01-01, SCR5-01-01","1, 1",,,Estojo - Tampa (Silk Screen - Ã˜65),1,0,,98117_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],cert_98117.zip,SPOT,11/18/2024 09:03:06,false,98117-127
"4, 4, 4, 4, 4",98137,ZION. Tapete de exercício para yoga em EVA com espessura até 4 mm,ZION,"Tapete de exercício para yoga ou pilates em EVA com espessura até 4 mm. Inclusa bolsa em poliéster com rede para não conservar odores e alça ajustável em tecido para transporte. Fechado: Ø115 x 635 mm | Aberto: 1830 x 610 x 4 mm",Tapete de exercício para yoga ou pilates em EVA com espessura até 4 mm. Inclusa bolsa em poliéster com rede para não conservar odores e alça ajustável em tecido para transporte,ZION. Tapete de exercício para yoga em EVA com espessura até 4 mm,ZION. TAPETE DE EXERCÍCIO PARA YOGA EM EVA COM ESPESSURA ATÉ 4 MM,false,true,false,false,"Fechado: Ø115 x 635 mm | Aberto: 1830 x 610 x 4 mm",,false,true,6.3,6.3,5.3,0.630X0.630X0.530,13,0.21,30,1,1,9506.99.00,Esporte & Ar Livre,0028,Acessórios de Esporte,00421,98137_set.jpg,,,98137_103-pouch.jpg,,"98137_set.jpg, 98137_103.jpg, 98137_amb.jpg, 98137_103-pouch.jpg, 98137_103-a.jpg, 98137_103-c.jpg, 98137_124.jpg, 98137_124-pouch.jpg, 98137_124-a.jpg, 98137_124-c.jpg",hi!dea™,China,false,,,REACH,,,Plástico em vácuo,420,Plástico em vácuo,,,EVA,,,0,0,,,"desporto, acessório de desporto, acessórios de desporto, acessorios de desporto, yoga mat, mat, tapetes, ginástica, aeróbica, certificado, certificados",98138,,,,,,"Azul claro, Preto",Sacola,Sacola,Lateral superior,Lateral superior,80 x 110,Sacola - Lateral superior,"Transfer, Silk screen têxtil",Silk screen têxtil,"TRS3-01, TRS3-02, TRS3-03, TRS3-04, TXP2-01",TXP2-01-01,"TRS3-01-01, TRS3-01-02, TRS3-01-03, TRS3-01-04, TRS3-01-F, TRS3-02-01, TRS3-02-02, TRS3-02-03, TRS3-02-04, TRS3-02-F, TRS3-03-01, TRS3-03-02, TRS3-03-03, TRS3-03-04, TRS3-03-F, TRS3-04-01, TRS3-04-02, TRS3-04-03, TRS3-04-04, TRS3-04-F, TXP2-01-01, TXP2-01-02, TXP2-01-03, TXP2-01-04","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4",,,Sacola - Lateral superior (Silk screen têxtil - 80 x 110),1,0,,98137_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]",[object Object],cert_98137.zip,SPOT,11/18/2024 09:03:06,false,98137-103
"4, 4",98192,GUARDSUN. Protetor solar para carros sem PE bubble e forrado com folha de alumínio,GUARDSUN,Protetor solar para carro em PE bubble e forrado com folha de alumínio na frente e verso. Adequado para vidro frontal e incluso 2 fixadores de ventosa. Dobrável para facilitar arrumação. 1300 x 600 mm,Protetor solar para carro em PE bubble e forrado com folha de alumínio na frente e verso. Adequado para vidro frontal e incluso 2 fixadores de ventosa. Dobrável para facilitar arrumação,GUARDSUN. Protetor solar para carros sem PE bubble e forrado com folha de alumínio,GUARDSUN. PROTETOR SOLAR PARA CARROS SEM PE BUBBLE E FORRADO COM FOLHA DE ALUMÍNIO,false,true,false,false,1300 x 600 mm,,false,true,6.3,5.2,5.7,0.630X0.520X0.570,9.8,0.187,75,1,1,3921.90.90,Esporte & Ar Livre,0028,Acessórios Automóvel,230,98192_set.jpg,,,,,"98192_set.jpg, 98192_107-a-logo.jpg, 98192_107.jpg, 98192_107-a.jpg",hi!dea™,China,false,,,REACH,PE + Alumínio: 153 g/m²  non-woven: 80 g/m²,,,103,Sem polybag,,,Alumínio,,,0,0,,,"protetor, protetores, sol, carro, tapa, carro, certificado, certificados","57326, 57338",,,,,,Cromado,Pára-sol,Pára-sol,"Frente, Verso",Frente,550 x 300,"Pára-sol - Frente, Pára-sol - Verso",Silk screen têxtil,Silk screen têxtil,"TXP1-01, TXP1-02",TXP1-02-01,"TXP1-01-01, TXP1-01-02, TXP1-01-03, TXP1-01-04, TXP1-02-01, TXP1-02-02, TXP1-02-03, TXP1-02-04","1, 2, 3, 4, 1, 2, 3, 4",,,Pára-sol - Frente (Silk screen têxtil - 550 x 300),1,0,,98192_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],,SPOT,11/18/2024 09:03:06,false,98192-107
"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",98320,PARANA. Guarda-sol reclinável em 210T,PARANA,"Guarda-sol reclinável em poliéster 210T com forro prateado. Fornecido em bolsa com alça. ø1400 x 1600 mm | Bolsa: 1010 x 110 mm",Guarda-sol reclinável em poliéster 210T com forro prateado. Fornecido em bolsa com alça,PARANA. Guarda-sol reclinável em 210T,PARANA. GUARDA-SOL RECLINÁVEL EM 210T,false,true,false,false,"ø1400 x 1600 mm | Bolsa: 1010 x 110 mm",,false,true,10,1.7,1.6,1.000X0.170X0.160,9.6,0.026,10,1,1,6601.10.00,Sol & Chuva,11,Guarda-Sol,232,98320_set.jpg,,,98320_104-pouch.jpg,,"98320_set.jpg, 98320_104-pouch.jpg, 98320_amb.jpg, 98320_104.jpg, 98320_105.jpg, 98320_105-pouch.jpg, 98320_105-b.jpg, 98320_123.jpg, 98320_123-pouch.jpg, 98320_123-c.jpg",hi!dea™,China,false,,,REACH,,,,855,Sem polybag,,,Poliéster 210T,,,0,0,,,"sombrinha, guarda sol, certificado, certificados, 11135","98293, 98332",,,,,,"Azul, Cinza claro, Vermelho","Guarda-sol,Bolsa",Guarda-sol,"Gomo 1, Gomo 2, Gomo 3, Gomo 4, Frente",Frente,220 x 140,"Guarda-sol - Gomo 1, Guarda-sol - Gomo 2, Guarda-sol - Gomo 3, Guarda-sol - Gomo 4, Bolsa - Frente","Transfer, Silk screen têxtil",Silk screen têxtil,"TRS3-01, TRS3-02, TRS3-03, TRS3-04, TRS3-05, TXP4-01, TRS1-01, TRS1-02, TRS1-03, TRS1-04, TRS1-05",TXP4-01-01,"TRS3-01-01, TRS3-01-02, TRS3-01-03, TRS3-01-04, TRS3-01-F, TRS3-02-01, TRS3-02-02, TRS3-02-03, TRS3-02-04, TRS3-02-F, TRS3-03-01, TRS3-03-02, TRS3-03-03, TRS3-03-04, TRS3-03-F, TRS3-04-01, TRS3-04-02, TRS3-04-03, TRS3-04-04, TRS3-04-F, TRS3-05-01, TRS3-05-02, TRS3-05-03, TRS3-05-04, TRS3-05-F, TXP4-01-01, TXP4-01-02, TXP4-01-03, TXP4-01-04, TRS1-01-01, TRS1-01-02, TRS1-01-03, TRS1-01-04, TRS1-01-F, TRS1-02-01, TRS1-02-02, TRS1-02-03, TRS1-02-04, TRS1-02-F, TRS1-03-01, TRS1-03-02, TRS1-03-03, TRS1-03-04, TRS1-03-F, TRS1-04-01, TRS1-04-02, TRS1-04-03, TRS1-04-04, TRS1-04-F, TRS1-05-01, TRS1-05-02, TRS1-05-03, TRS1-05-04, TRS1-05-F","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4",,,Guarda-sol - Gomo 1 (Silk screen têxtil - 220 x 140),1,0,,98320_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]","[object Object],[object Object]",cert_98320.zip,SPOT,11/18/2024 09:03:06,false,98320-104
